order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
OI-0000005,OR-000002,SKU-0043,3,47.93,0.10,129.41
OI-0000006,OR-000002,SKU-0032,4,46.35,0.05,176.13
OI-0000007,OR-000002,SKU-0038,3,21.08,0.00,63.24
OI-0000008,OR-000002,SKU-0056,6,33.56,0.15,171.16
OI-0000009,OR-000002,SKU-0055,3,7.92,0.00,23.76
OI-0000010,OR-000003,SKU-0005,5,42.53,0.00,212.65
OI-0000011,OR-000004,SKU-0046,5,40.95,0.00,204.75
OI-0000012,OR-000005,SKU-0054,1,31.89,0.00,31.89
OI-0000013,OR-000005,SKU-0051,0,14.92,0.00,0.00
OI-0000014,OR-000005,SKU-0026,5,21.39,0.00,106.95
OI-0000029,OR-000011,SKU-0016,1,46.17,0.00,46.17
OI-0000030,OR-000011,SKU-0045,3,16.47,0.05,46.94
OI-0000031,OR-990000,SKU-0053,3,10.85,0.15,27.67
OI-0000032,OR-000011,SKU-0001,3,14.26,0.00,42.78
OI-0000036,OR-000013,SKU-0010,2,37.20,0.00,74.40
OI-0000037,OR-000013,SKU-0055,1,7.92,0.00,7.92
OI-0000038,OR-000013,SKU-0014,5,43.57,0.05,206.96
OI-0000039,OR-000013,SKU-0032,2,46.35,0.00,92.70
OI-0000041,OR-000015,SKU-0020,6,31.62,0.15,161.26
OI-0000042,OR-000015,SKU-0048,5,24.84,0.05,117.99
OI-0000043,OR-000015,SKU-0023,2,8.40,0.00,16.80
OI-0000044,OR-000015,SKU-0050,1,46.08,0.00,46.08
OI-0000048,OR-000017,SKU-0021,1,3.76,0.00,3.76
OI-0000049,OR-000018,SKU-0044,6,26.37,0.15,134.49
OI-0000050,OR-000018,SKU-0038,2,21.08,0.15,35.84
OI-0000051,OR-000018,SKU-0018,4,3.17,0.10,11.41
OI-0000055,OR-000021,SKU-0023,4,8.40,0.00,33.60
OI-0000056,OR-000021,SKU-0059,6,29.19,0.10,157.63
OI-0000066,OR-000024,SKU-0056,3,33.56,0.00,100.68
OI-0000067,OR-000024,SKU-0010,3,37.20,0.05,106.02
OI-0000068,OR-000024,SKU-0021,3,3.76,0.15,9.59
OI-0000069,OR-000024,SKU-0043,5,47.93,0.00,239.65
OI-0000070,OR-000025,SKU-0036,6,13.87,0.00,83.22
OI-0000071,OR-000025,SKU-0026,1,21.39,0.15,18.18
OI-0000072,OR-000025,SKU-0058,5,45.65,0.00,228.25
OI-0000073,OR-000025,SKU-0059,4,29.19,0.05,110.92
OI-0000074,OR-000025,SKU-0014,3,43.57,0.00,130.71
OI-0000075,OR-000026,SKU-0014,6,43.57,0.00,261.42
OI-0000076,OR-000026,SKU-0019,6,40.98,0.00,245.88
OI-0000077,OR-000026,SKU-0055,4,7.92,0.00,31.68
OI-0000084,OR-000029,SKU-0007,4,39.44,0.10,141.98
OI-0000085,OR-000029,SKU-0059,3,29.19,0.10,78.81
OI-0000086,OR-000029,SKU-0033,3,37.17,0.00,111.51
OI-0000087,OR-000030,SKU-0045,2,16.47,0.10,29.65
OI-0000088,OR-000030,SKU-0053,1,10.85,0.10,9.77
OI-0000092,OR-000032,SKU-0009,6,33.65,0.15,171.61
OI-0000093,OR-000032,SKU-0038,1,21.08,0.00,21.08
OI-0000103,OR-000035,SKU-0024,3,21.04,0.00,63.12
OI-0000104,OR-000035,SKU-0056,1,33.56,0.05,31.88
OI-0000108,OR-000037,SKU-0012,5,40.02,0.10,180.09
OI-0000109,OR-000038,SKU-0020,6,31.62,0.10,170.75
OI-0000110,OR-000039,SKU-0027,1,10.49,0.10,9.44
OI-0000111,OR-000039,SKU-0010,2,37.20,0.15,63.24
OI-0000112,OR-000039,SKU-0042,3,36.89,0.05,105.14
OI-0000113,OR-000039,SKU-0051,5,14.92,0.00,74.60
OI-0000114,OR-000039,SKU-0001,1,14.26,0.10,12.83
OI-0000122,OR-000042,SKU-0046,6,40.95,0.15,208.84
OI-0000123,OR-000042,SKU-0025,3,33.88,0.00,101.64
OI-0000132,OR-000045,SKU-0036,2,13.87,0.10,24.97
OI-0000133,OR-000045,SKU-0010,3,37.20,0.10,100.44
OI-0000134,OR-000045,SKU-0001,2,14.26,0.00,28.52
OI-0000135,OR-000045,SKU-0054,5,31.89,0.05,151.48
OI-0000136,OR-000045,SKU-0015,3,11.18,0.00,33.54
