order_id,customer_id,store_id,order_date,status,channel,currency
OR-000001,CU-00163,ST-001,2026-01-16,delivered,web,USD
OR-000006,CU-00177,ST-007,2026-01-16,returned,web,USD
OR-000007,CU-00014,ST-003,2026-01-16,delivered,web,USD
OR-000008,CU-00099,ST-002,2026-01-16,shipped,web,USD
OR-000009,CU-00041,ST-003,2026-01-16,returned,in_store,USD
OR-000010,CU-00167,ST-001,2026-01-16,placed,in_store,USD
OR-000012,CU-00093,ST-003,2026-01-16,placed,mobile,USD
OR-000014,CU-00189,ST-007,2026-01-16,shipped,phone,USD
OR-000016,CU-90000,ST-004,2026-01-16,picked,web,USD
OR-000019,CU-00095,ST-007,2026-01-16,placed,mobile,USD
OR-000020,CU-00088,ST-005,2026-01-16,delivered,in_store,USD
OR-000022,CU-00144,ST-007,2026-01-16,delivered,mobile,USD
OR-000023,CU-00067,ST-001,2026-01-16,placed,web,USD
OR-000027,CU-00041,ST-006,2026-01-16,shipped,phone,USD
OR-000028,CU-00084,ST-001,2026-01-16,SHIPPED,mobile,USD
OR-000031,CU-00119,ST-002,2026-01-16,shipped,in_store,USD
OR-000033,CU-00190,ST-001,2026-01-16,shipped,phone,USD
OR-000034,CU-00132,ST-007,2026-01-16,shipped,phone,USD
OR-000036,CU-00048,ST-005,2026-01-16,returned,in_store,USD
OR-000040,CU-00038,ST-006,2026-01-16,returned,web,USD
OR-000041,CU-00017,ST-007,2026-01-16,shipped,in_store,USD
OR-000043,CU-00006,ST-001,2026-01-16,delivered,web,USD
OR-000044,CU-00157,ST-004,2026-01-16,placed,mobile,USD
OR-000048,CU-00014,ST-005,2026-01-16,shipped,phone,USD
OR-000051,CU-00054,ST-001,2026-01-16,delivered,in_store,USD
OR-000053,CU-00094,ST-006,2026-01-16,placed,in_store,USD
OR-000054,CU-00144,ST-005,2026-01-16,returned,mobile,USD
OR-000055,CU-00032,ST-003,2026-01-16,returned,in_store,USD
OR-000056,CU-00088,ST-001,2026-01-16,placed,web,USD
OR-000058,CU-00007,ST-006,2026-01-16,returned,web,USD
OR-000060,CU-00099,ST-005,2026-01-16,returned,in_store,USD
OR-000061,CU-00062,ST-005,2026-01-16,shipped,web,USD
OR-000063,CU-00123,ST-008,2026-01-16,delivered,web,USD
OR-000066,CU-00048,ST-002,2026-01-16,placed,in_store,USD
OR-000067,CU-00049,ST-005,2026-01-16,shipped,mobile,USD
OR-000069,CU-00176,ST-001,2026-01-16,shipped,in_store,USD
OR-000078,CU-00165,ST-003,2026-01-16,returned,web,USD
OR-000079,CU-00155,ST-007,2026-01-16,delivered,phone,USD
OR-000081,CU-00198,ST-007,2026-01-16,picked,web,USD
OR-000084,CU-00198,ST-004,2026-01-16,delivered,mobile,USD
OR-000088,CU-00184,ST-001,2026-01-16,picked,phone,USD
OR-000090,CU-00135,ST-008,2026-01-16,placed,in_store,USD
OR-000091,CU-00056,ST-002,2026-01-16,delivered,web,USD
OR-000093,CU-00168,ST-006,2026-01-16,placed,phone,USD
OR-000095,CU-00087,ST-002,2026-01-16,placed,web,USD
OR-000097,CU-00106,ST-005,2026-01-16,picked,phone,USD
OR-000098,CU-00137,ST-006,2026-01-16,placed,in_store,USD
OR-000099,CU-00168,ST-001,2026-01-16,placed,phone,USD
OR-000100,CU-00144,ST-003,2026-01-16,delivered,web,USD
OR-000103,CU-00120,ST-006,2026-01-16,delivered,phone,USD
OR-000104,CU-00103,ST-001,2026-01-16,delivered,in_store,USD
OR-000106,CU-00154,ST-008,2026-01-16,picked,in_store,USD
OR-000108,CU-00042,ST-001,2026-01-16,picked,in_store,USD
OR-000114,CU-00092,ST-003,2026-01-16,placed,phone,USD
OR-000118,CU-00116,ST-002,2026-01-16,returned,mobile,USD
OR-000127,CU-00182,ST-007,2026-01-16,picked,mobile,USD
OR-000130,CU-00094,ST-001,2026-01-16,shipped,in_store,USD
OR-000131,CU-00076,ST-004,2026-01-16,placed,web,USD
OR-000134,CU-00068,ST-005,2026-01-16,delivered,phone,USD
OR-000137,CU-00005,ST-002,2026-01-16,picked,mobile,USD
OR-000139,CU-00110,ST-002,2026-01-16,placed,phone,USD
OR-000142,CU-00071,ST-004,2026-01-16,shipped,mobile,USD
OR-000144,CU-00054,ST-003,2026-01-16,returned,mobile,USD
OR-000145,CU-00131,ST-003,2026-01-16,placed,web,USD
OR-000146,CU-00177,ST-005,2026-01-16,delivered,in_store,USD
OR-000148,CU-00153,ST-008,2026-01-16,returned,in_store,USD
OR-000151,CU-00141,ST-008,2026-01-16,placed,in_store,USD
OR-000153,CU-00081,ST-004,2026-01-16,shipped,in_store,USD
OR-000155,CU-00155,ST-008,2026-01-16,delivered,web,USD
OR-000156,CU-00040,ST-004,2026-01-16,returned,web,USD
OR-000158,CU-00170,ST-004,2026-01-16,placed,phone,USD
OR-000159,CU-00140,ST-005,2026-01-16,picked,mobile,USD
OR-000162,CU-00094,ST-005,2026-01-16,picked,phone,USD
OR-000163,CU-00158,ST-008,2026-01-16,delivered,web,USD
OR-000167,CU-00049,ST-004,2026-01-16,picked,web,USD
OR-000169,CU-00111,ST-008,2026-01-16,returned,in_store,USD
OR-000170,CU-00105,ST-002,2026-01-16,picked,web,USD
OR-000171,CU-00067,ST-007,2026-01-16,shipped,phone,USD
OR-000172,CU-00090,ST-006,2026-01-16,shipped,web,USD
OR-000173,CU-00014,ST-006,2026-01-16,picked,mobile,USD
OR-000174,CU-00180,ST-003,2026-01-16,picked,web,USD
OR-000175,CU-00091,ST-002,2026-01-16,placed,mobile,USD
OR-000176,CU-00193,ST-003,2026-01-16,placed,mobile,USD
OR-000177,CU-00028,ST-003,2026-01-16,delivered,mobile,USD
OR-000178,CU-00137,ST-005,2026-01-16,shipped,web,USD
OR-000179,CU-00097,ST-008,2026-01-16,picked,mobile,USD
OR-000183,CU-00180,ST-008,2026-01-16,delivered,phone,USD
OR-000184,CU-00176,ST-006,2026-01-16,returned,web,USD
OR-000185,CU-00120,ST-001,2026-01-16,placed,web,USD
OR-000186,CU-00164,ST-004,2026-01-16,picked,mobile,USD
OR-000189,CU-00179,ST-001,2026-01-16,delivered,web,USD
OR-000191,CU-00169,ST-001,2026-01-16,delivered,in_store,USD
OR-000192,CU-00114,ST-004,2026-01-16,shipped,phone,USD
OR-000193,CU-00062,ST-003,2026-01-16,picked,mobile,USD
OR-000195,CU-00037,ST-005,2026-01-16,picked,web,USD
OR-000197,CU-00032,ST-006,2026-01-16,picked,web,USD
OR-000198,CU-00156,ST-007,2026-01-16,shipped,web,USD
OR-000199,CU-00163,ST-001,2026-01-16,placed,mobile,USD
OR-000200,CU-00193,ST-007,2026-01-16,shipped,in_store,USD
OR-000204,CU-00159,ST-006,2026-01-16,shipped ,web,USD
OR-000208,CU-00076,ST-001,2026-01-16,placed,in_store,USD
OR-000209,CU-00177,ST-001,2026-01-16,shipped,phone,USD
OR-000210,CU-00052,ST-002,2026-01-16,picked,mobile,USD
OR-000211,CU-00199,ST-002,2026-01-16,delivered,mobile,USD
OR-000213,CU-00112,ST-002,2026-01-16,shipped,web,USD
OR-000214,CU-00039,ST-002,2026-01-16,delivered,mobile,USD
OR-000215,CU-00080,ST-008,2026-01-16,picked,phone,USD
OR-000216,CU-00130,ST-006,2026-01-16,returned,in_store,USD
OR-000217,CU-00187,ST-004,2026-01-16,placed,web,USD
OR-000220,CU-00162,ST-006,2026-01-16,shipped,in_store,USD
OR-000222,CU-00103,ST-003,2026-01-16,shipped,mobile,USD
OR-000223,CU-00089,ST-008,2026-01-16,picked,in_store,USD
OR-000227,CU-00133,ST-005,2026-01-16,shipped,web,USD
OR-000228,CU-00188,ST-002,2026-01-16,delivered,web,USD
OR-000231,CU-00154,ST-005,2026-01-16,delivered,web,USD
